card_id	deck	disposition	rationale	source	lens
m0-control-plane-components	01-foundations	keep	Existing anchor is accurate and concise: ECS hides the same four components; here they run as readable workloads.		
m0-only-apiserver-touches-etcd	01-foundations	add	Real transfer: the AWS API gated by IAM is the single front door, mapping to kube-apiserver gated by RBAC.		
m0-kubelet-is-the-thing-that-acts	01-foundations	rewrite	Pilot: direct node-agent role with the API boundary and node-first incident consequence.	https://docs.aws.amazon.com/AmazonECS/latest/developerguide/ECS_agent.html https://kubernetes.io/docs/reference/command-line-tools-reference/kubelet/	
m0-reconciliation-loop	01-foundations	rewrite	Pilot: desired-count maintenance is only a hook; the general extensible control-loop model has no ECS equivalent.	https://docs.aws.amazon.com/AmazonECS/latest/developerguide/ecs_services.html https://kubernetes.io/docs/concepts/architecture/controller/	
m0-declarative-vs-imperative	01-foundations	keep	Accurate direct-ish mapping: imperative kubectl vs apply over version-controlled YAML like ECS through IaC.		
m0-object-shape	01-foundations	keep	Accurate no-equivalent boundary: task-definition JSON has no spec/status split.		
m0-nodes-are-visible-here	01-foundations	keep	Accurate EC2-vs-Fargate visibility hook with an incident consequence.		
m0-kubeconfig-context	01-foundations	rewrite	Pilot: profile and region are a partial hook because context also selects cluster endpoint and namespace.	https://docs.aws.amazon.com/cli/latest/userguide/cli-configure-profiles.html https://kubernetes.io/docs/concepts/configuration/organize-cluster-access-kubeconfig/	
m0-what-a-namespace-does-not-isolate	01-foundations	keep	Accurate no-equivalent boundary; heads off the tenancy-boundary misconception.		
m0-labels-vs-annotations	01-foundations	keep	Accurate: ECS tags are descriptive like annotations; nothing wires two resources together by tag.		
m0-label-selector	01-foundations	keep	Accurate: explicit target-group registration vs implicit label binding, with the silent-failure consequence.		
m0-namespaced-vs-cluster-scoped	01-foundations	not-useful	Kubernetes API-model fact with no ECS scope analog; an analogy here would be filler.		
m0-kube-system	01-foundations	keep	Accurate: invisible AWS machinery vs readable in-cluster workloads; placement-debug consequence.		
m0-service-dns-name	01-foundations	rewrite	Old text framed cluster DNS as closer to Service Connect; both Cloud Map and Service Connect require per-service opt-in and a namespace, while cluster DNS is automatic.	https://docs.aws.amazon.com/AmazonECS/latest/developerguide/create-service-connect.html https://kubernetes.io/docs/concepts/services-networking/dns-pod-service/	
m0-kube-proxy-has-no-health-checks	01-foundations	keep	Accurate: ALB/NLB health checks vs in-kernel balancing whose only dial is readiness.		
m0-flat-network-model	01-foundations	keep	Accurate awsvpc/EKS VPC CNI hook; the ENI/IP density cap is an AWS detail, not part of the model.	https://docs.aws.amazon.com/eks/latest/userguide/cni-increase-ip-addresses.html	
m0-why-multi-node	01-foundations	keep	Accurate single-node-cluster analogy with a production-realism consequence.		
m0-kind-image-loading	01-foundations	not-useful	KIND-local tooling gotcha; ECS always pulls from a registry, so there is no real transfer.		
m0-describe-vs-get	01-foundations	keep	Accurate ECS-console Events-tab hook; same debugging instinct, different command.		
m0-events-are-ephemeral	01-foundations	add	Real transfer: ECS service events are also a short rolling window (last ~100 / ~1h), not a durable log; forward to CloudWatch.	https://docs.aws.amazon.com/AmazonECS/latest/developerguide/task-lifecycle-events.html	
m0-api-groups	01-foundations	add	Real genuinely-new note: AWS rarely removes API versions; Kubernetes removes them on schedule (extensions/v1beta1 Ingress at 1.22), breaking manifests on upgrade.	https://kubernetes.io/blog/2021/07/14/upcoming-changes-in-kubernetes-1-22/	
m0-kubectl-explain	01-foundations	not-useful	Kubernetes tooling affordance (live OpenAPI schema); no ECS equivalent to anchor to.		
m0-checkpoint-machine-roles	01-foundations	keep	Accurate: ECS hides every component; the split gives 'won't start' an addressable owner.		
m0-checkpoint-wrong-cluster	01-foundations	keep	Accurate: AWS profile+region parallel; use-context maps to export AWS_PROFILE; same paranoia.		
m1-pod	02-core-workloads	keep	Accurate: Pod maps to an ECS Task; multi-container task definition maps to a multi-container Pod, including awsvpc shared localhost.		
m1-pods-are-cattle	02-core-workloads	keep	Accurate: don't run-task long-running work; create a Service so something maintains the desired count.		
m1-service-collision	02-core-workloads	paired-comparison	Pilot: one ECS Service outcome splits across a Deployment and a Kubernetes Service.	https://docs.aws.amazon.com/AmazonECS/latest/APIReference/API_CreateService.html https://kubernetes.io/docs/concepts/services-networking/service/	
m1-deployment-replicaset-pod	02-core-workloads	keep	Accurate: ECS collapses this into Service + task-definition revisions; the ReplicaSet is the layer ECS does not expose.		
m1-service-types	02-core-workloads	rewrite	Old text said type LoadBalancer equals an NLB; the default is a Classic Load Balancer from the in-tree provider, NLB only with the AWS Load Balancer Controller (v2.5+).	https://aws.github.io/aws-eks-best-practices/networking/loadbalancing/loadbalancing/ https://docs.aws.amazon.com/eks/latest/userguide/auto-configure-nlb.html	
m1-headless-service	02-core-workloads	add	Real transfer: Cloud Map in awsvpc mode publishes an A record per task, returning individual task IPs like a headless Service returns Pod IPs.	https://docs.aws.amazon.com/AmazonECS/latest/developerguide/service-discovery.html	
m1-grpc-l4-gotcha	02-core-workloads	keep	Accurate: identical L4 (NLB) gRPC connection-pinning failure mode.		
m1-endpointslice	02-core-workloads	not-useful	The target-group / readiness-gates-membership transfer is already anchored in m0-label-selector and m0-kube-proxy; repeating it would violate the no-repetition objective.		
m1-zero-endpoints	02-core-workloads	not-useful	The silent zero-endpoints transfer is already carried by m0-label-selector; a second target-group analogy would repeat.		
m1-rolling-update-knobs	02-core-workloads	paired-comparison	Pilot: align lower availability and upper surge bounds while preserving their inverse semantics and rounding differences.	https://docs.aws.amazon.com/AmazonECS/latest/developerguide/deployment-type-ecs.html https://kubernetes.io/docs/concepts/workloads/controllers/deployment/	
m1-rollout-commands	02-core-workloads	keep	Accurate command mappings (rollout restart to force-new-deployment; rollout undo to a prior task-definition revision) with the built-in-vs-scripted boundary.		
m1-rollout-restart-mechanism	02-core-workloads	not-useful	The force-new-deployment analogy already lives in m1-rollout-commands; the annotation-to-hash-to-new-ReplicaSet mechanism is Kubernetes-internal with no ECS parallel.		
m1-imagepullpolicy-latest	02-core-workloads	rewrite	Old text ('ECS pins per task-definition revision') predates versionConsistency, which now resolves a mutable tag to a digest per deployment by default; Kubernetes does not.	https://docs.aws.amazon.com/AmazonECS/latest/developerguide/pull-behavior.html https://repost.aws/knowledge-center/ecs-latest-image-digest	
m1-daemonset	02-core-workloads	keep	Accurate: ECS daemon scheduling strategy is a direct equivalent; EKS Fargate does not support DaemonSets (one Pod per Fargate node).	https://docs.aws.amazon.com/eks/latest/userguide/fargate.html	
m1-statefulset	02-core-workloads	keep	Accurate no-equivalent boundary: ECS tasks are interchangeable and anonymous.		
m1-job-cronjob	02-core-workloads	keep	Accurate: Job maps to run-task, CronJob to an EventBridge scheduled rule; both are first-class objects here.		
m1-init-vs-sidecar	02-core-workloads	keep	Accurate: sidecars map to a multi-container task definition with dependsOn; init containers are cleaner than the dependsOn COMPLETE dance.		
m1-pod-phases	02-core-workloads	add	Real transfer: ECS task states (PROVISIONING/PENDING) hide 'why not running yet' the way the Pending phase does.	https://repost.aws/knowledge-center/ecs-task-stuck-lifecycle-state	
m1-crashloopbackoff	02-core-workloads	keep	Accurate: the ECS task restart loop; --previous is a better debugging affordance than digging for stopped-task logs.		
m1-restart-policy	02-core-workloads	add	Real genuinely-new note: ECS has no in-place container restart; a dead essential container replaces the whole task, possibly on another instance.	https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle/#restart-policy	
m1-port-forward	02-core-workloads	keep	Accurate: ECS Exec / SSM port forwarding; same break-glass role and same reason it is not user-facing.		
m1-kind-load-image	02-core-workloads	not-useful	KIND-local tooling gotcha; ECS always pulls from a registry, so there is no real transfer (consistent with m0-kind-image-loading).		
m1-what-m1-is-missing	02-core-workloads	add	Real reframe: ECS bundled probes / minimum-healthy-percent / Service Auto Scaling into the service and its ALB; Kubernetes unbundles them into separate objects you add deliberately.	https://docs.aws.amazon.com/AmazonECS/latest/developerguide/service-auto-scaling.html	
eks-what-aws-manages	11-eks-and-aws	keep	Accurate, concise anchor: EKS peels back fewer layers than Fargate, and the exposed seams are the new work.	https://docs.aws.amazon.com/eks/latest/userguide/eks-architecture.html	eks-specific
eks-vpc-cni-ip-exhaustion	11-eks-and-aws	keep	Accurate awsvpc-per-task-ENI hook with a sharper-failure consequence; same density model, Pod counts make it bite harder.	https://docs.aws.amazon.com/eks/latest/userguide/cni-increase-ip-addresses.html	eks-specific
eks-prefix-delegation	11-eks-and-aws	add	Real transfer: the awsvpc density ceiling an ECS engineer raised with ENI trunking maps to prefix delegation (a /28 of 16 IPs per ENI); same problem, different lever.	https://docs.aws.amazon.com/eks/latest/userguide/cni-increase-ip-addresses.html https://docs.aws.amazon.com/AmazonECS/latest/developerguide/container-instance-eni.html	eks-specific
eks-irsa-vs-pod-identity	11-eks-and-aws	rewrite	Sharpen to three-part: the single taskRoleArn field splits into a ServiceAccount plus a cluster-wired IAM role (OIDC trust for IRSA, association for Pod Identity), so more places fail silently. Pod Identity confirmed the current default for new clusters.	https://docs.aws.amazon.com/eks/latest/userguide/pod-identities.html https://aws.amazon.com/blogs/containers/amazon-eks-pod-identity-a-new-way-for-applications-on-eks-to-obtain-iam-credentials/	eks-specific
eks-two-authz-systems	11-eks-and-aws	add	Real transfer: on ECS one IAM call both authenticates and authorizes; EKS splits authN (IAM) from authZ (RBAC, which ignores IAM), which is why an account admin gets Forbidden.	https://docs.aws.amazon.com/eks/latest/userguide/access-entries.html	eks-specific
eks-cluster-creator-admin	11-eks-and-aws	not-useful	The transferable instinct (IAM never makes a principal special for creating a resource) is real but thin, and the two-system authZ transfer already lands in eks-two-authz-systems; a second aws-auth-adjacent anchor would repeat.		eks-specific
eks-lb-controller	11-eks-and-aws	rewrite	Keep the strong ECS service->target-group->ALB mapping but add the boundary/consequence: unlike ECS's built-in wiring, an installed controller reconciles the Ingress, and without it the object is inert.	https://docs.aws.amazon.com/eks/latest/userguide/aws-load-balancer-controller.html	eks-specific
eks-target-type-ip	11-eks-and-aws	add	Corrected the answer: instance is the controller default and ip must be set explicitly (recommended with the VPC CNI, required for Fargate/hybrid nodes). Added an ecs anchor: ECS awsvpc/Fargate tasks already register as ip targets, so target-type ip is the familiar path and instance is the EKS surprise.	https://docs.aws.amazon.com/eks/latest/userguide/alb-ingress.html	eks-specific
eks-fargate-limits	11-eks-and-aws	keep	Accurate: it is Fargate with the same trade-offs, but Kubernetes leans on DaemonSets far more than ECS, so their absence hurts more (log shipper/node agents become sidecars).	https://docs.aws.amazon.com/eks/latest/userguide/fargate.html	eks-specific
eks-auto-mode	11-eks-and-aws	add	Real transfer that corrects a likely misread: Auto Mode reads like Fargate but still runs real EC2 nodes under a managed Karpenter, so node-level constructs like DaemonSets keep working, unlike Fargate's per-Pod micro-VMs.	https://docs.aws.amazon.com/eks/latest/userguide/automode.html	eks-specific
eks-karpenter	11-eks-and-aws	keep	Accurate: ECS Capacity Providers with managed scaling, but far more aggressive about replacing and consolidating nodes; the workload-side takeaway (PDBs, graceful shutdown) is carried by the answer.	https://karpenter.sh/docs/concepts/disruption/	eks-specific
eks-ebs-single-az	11-eks-and-aws	add	Real transfer: the EBS-single-AZ / EFS-multi-AZ facts carry straight from EC2/ECS; the new part is the failure surface -- an EBS-bound Pod is AZ-pinned and goes Pending when its AZ is full, and WaitForFirstConsumer defers the volume so the two agree.	https://docs.aws.amazon.com/eks/latest/userguide/ebs-csi.html https://kubernetes.io/docs/concepts/storage/storage-classes/#volume-binding-mode	eks-specific
eks-addons	11-eks-and-aws	add	Real reframe: ECS never made you install or version a CNI/DNS/CSI driver -- AWS bundled that into the platform; EKS surfaces them as versioned add-ons you own, and add-on drift becomes an upgrade failure mode.	https://docs.aws.amazon.com/eks/latest/userguide/workloads-add-ons-available-eks.html	eks-specific
eks-version-support	11-eks-and-aws	add	Real transfer: ECS had no upgrade treadmill; EKS gives each minor ~14 months standard support, then pricier extended support, then a forced upgrade, making upgrades a recurring calendar item. Distinct from m0-api-groups (manifest removal).	https://docs.aws.amazon.com/eks/latest/userguide/kubernetes-versions.html	eks-specific
eks-upgrade-workload-impact	11-eks-and-aws	keep	Accurate: an ECS capacity-provider instance refresh, but cluster-wide and on a schedule you do not control; the deprecated-API and node-roll survival work is carried by the answer.	https://kubernetes.io/docs/reference/using-api/deprecation-guide/	eks-specific
eks-portable-vs-aws	11-eks-and-aws	add	Real reframe for the deck's closer: coming from ECS no orchestration skill traveled; Kubernetes inverts that, so the workload layer is portable to GKE/AKS/bare metal and only this deck's slice stays AWS-only.		portable
